               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026154,            0.043166,           0.0013189,             0.84621,             0.70762,             0.76711,             0.51302,            0.045516,            0.059447,           0.0023322,              0.0937,              0.0007,              0.0007
                   1,             0.02484,            0.044621,           0.0012896,             0.86757,              0.7125,              0.7671,              0.5166,             0.04611,            0.059514,           0.0023486,            0.086497,            0.001497,            0.001497
                   2,            0.025875,            0.043273,            0.001508,             0.83246,             0.70281,             0.76092,             0.49465,            0.047541,            0.061706,           0.0024452,            0.079291,           0.0022909,           0.0022909
                   3,            0.026943,            0.045316,            0.001604,             0.84586,             0.70317,             0.75888,             0.48335,             0.04646,            0.061523,           0.0023188,            0.072082,           0.0030816,           0.0030816
                   4,            0.025747,            0.040968,           0.0015489,             0.78181,             0.69942,             0.74129,             0.46077,            0.048394,            0.062464,            0.002353,            0.064869,           0.0038691,           0.0038691
                   5,             0.02864,            0.044049,           0.0013056,             0.87908,             0.70447,             0.75657,             0.48415,            0.045906,            0.059795,           0.0019967,            0.057653,           0.0046535,           0.0046535
                   6,            0.031416,            0.038156,           0.0014121,             0.75498,             0.70922,             0.73117,             0.45232,            0.048084,            0.064432,           0.0020243,            0.050435,           0.0054347,           0.0054347
                   7,            0.033792,            0.048607,           0.0015728,             0.79603,             0.73125,              0.7637,             0.43251,            0.049952,            0.059191,           0.0018895,            0.043213,           0.0062127,           0.0062127
                   8,            0.032464,            0.038042,           0.0016845,             0.80404,             0.71875,             0.75113,             0.43732,            0.048666,            0.058007,           0.0021902,            0.035988,           0.0069875,           0.0069875
                   9,            0.034477,            0.041103,           0.0016635,              0.7946,             0.74575,             0.75956,             0.44978,            0.048885,            0.055405,           0.0021818,            0.028759,           0.0077592,           0.0077592
                  10,            0.037208,             0.04105,           0.0019522,             0.75769,             0.69099,             0.71062,             0.44923,            0.051731,            0.060107,           0.0025879,            0.021528,           0.0085277,           0.0085277
                  11,              0.0333,            0.050982,           0.0018713,             0.78902,             0.61643,             0.72537,             0.37704,            0.055129,            0.055328,           0.0020991,            0.014293,           0.0092931,           0.0092931
                  12,             0.04311,            0.047764,           0.0021264,             0.82039,             0.72484,             0.74755,             0.43646,            0.049864,            0.058407,           0.0022424,           0.0097624,           0.0097624,           0.0097624
                  13,            0.041854,            0.040396,           0.0019267,             0.76237,             0.61295,             0.69056,             0.40306,            0.051144,            0.071449,           0.0027037,           0.0097624,           0.0097624,           0.0097624
                  14,            0.035211,            0.049234,           0.0020476,             0.73395,             0.58125,             0.63123,             0.34772,            0.053364,            0.070752,           0.0030354,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037614,             0.04708,            0.002049,             0.81293,              0.5932,             0.67266,             0.37464,            0.051462,            0.066241,           0.0027325,           0.0097228,           0.0097228,           0.0097228
                  16,            0.036376,            0.047806,           0.0024728,             0.74714,             0.64955,             0.73457,             0.43532,             0.04829,            0.057529,           0.0023881,            0.009703,            0.009703,            0.009703
                  17,            0.036317,            0.037642,           0.0022648,             0.77594,             0.68843,             0.74145,             0.39369,            0.048757,            0.060374,           0.0023217,           0.0096832,           0.0096832,           0.0096832
                  18,            0.035659,            0.042688,           0.0024688,             0.80204,             0.74375,             0.78308,             0.43049,            0.050913,            0.053169,           0.0021591,           0.0096634,           0.0096634,           0.0096634
                  19,            0.036245,            0.047112,           0.0020475,             0.84183,              0.7875,             0.80951,             0.43066,            0.048062,            0.052322,           0.0021177,           0.0096436,           0.0096436,           0.0096436
                  20,            0.038844,            0.045812,           0.0024769,             0.83713,                0.75,             0.77464,             0.39838,             0.04891,            0.053314,           0.0022749,           0.0096238,           0.0096238,           0.0096238
                  21,            0.038659,            0.046905,           0.0022268,              0.7994,             0.72738,             0.73745,             0.39314,            0.054665,            0.053133,           0.0024111,            0.009604,            0.009604,            0.009604
                  22,            0.037576,            0.040624,           0.0022496,             0.83395,              0.7125,             0.75162,             0.42832,            0.051067,            0.054793,           0.0026237,           0.0095842,           0.0095842,           0.0095842
                  23,             0.03537,            0.039697,           0.0021336,             0.84617,             0.67342,             0.73062,             0.45954,              0.0517,            0.056596,           0.0024389,           0.0095644,           0.0095644,           0.0095644
                  24,            0.033512,            0.042904,           0.0019048,             0.75586,             0.66456,             0.70025,              0.4211,            0.051153,            0.058589,           0.0023784,           0.0095446,           0.0095446,           0.0095446
                  25,            0.033623,            0.035889,             0.00208,             0.73207,             0.65741,             0.68424,             0.30601,            0.055214,            0.060385,            0.002512,           0.0095248,           0.0095248,           0.0095248
                  26,            0.037994,            0.040824,           0.0019583,             0.82361,              0.6625,             0.71153,             0.37185,            0.054668,            0.060722,           0.0027487,            0.009505,            0.009505,            0.009505
                  27,            0.035435,            0.041196,           0.0020018,             0.82152,             0.68125,             0.74755,             0.43315,            0.051382,             0.06257,           0.0025877,           0.0094852,           0.0094852,           0.0094852
                  28,             0.03481,            0.037981,           0.0019931,             0.85037,             0.59701,             0.67278,             0.41467,            0.055926,            0.074955,           0.0030238,           0.0094654,           0.0094654,           0.0094654
                  29,            0.036068,            0.048389,           0.0020392,             0.87393,             0.64788,             0.70796,             0.41753,            0.056817,            0.067032,           0.0026481,           0.0094456,           0.0094456,           0.0094456
                  30,            0.034888,            0.043344,           0.0019347,             0.82647,             0.69375,              0.7318,             0.43053,            0.051748,            0.062647,             0.00226,           0.0094258,           0.0094258,           0.0094258
                  31,             0.03539,            0.045606,           0.0020821,              0.7103,             0.71165,             0.72763,             0.41778,            0.051905,            0.059353,           0.0021388,            0.009406,            0.009406,            0.009406
                  32,            0.034351,            0.054495,           0.0022719,             0.74464,             0.72879,             0.71835,             0.40273,             0.04913,            0.059951,           0.0021009,           0.0093862,           0.0093862,           0.0093862
                  33,            0.032439,            0.046978,            0.002042,             0.74915,                 0.7,             0.73319,             0.34732,            0.051303,            0.059514,           0.0019427,           0.0093664,           0.0093664,           0.0093664
                  34,            0.033928,            0.046584,           0.0020353,              0.8131,             0.66602,             0.73397,             0.38678,            0.054152,            0.060919,           0.0019917,           0.0093466,           0.0093466,           0.0093466
                  35,             0.03199,            0.038168,           0.0025467,             0.74973,               0.659,             0.70719,             0.40752,            0.055665,            0.064023,           0.0021258,           0.0093268,           0.0093268,           0.0093268
                  36,            0.035254,            0.042024,           0.0019675,             0.77084,             0.64173,             0.69324,             0.40767,            0.054003,            0.065701,           0.0023058,            0.009307,            0.009307,            0.009307
                  37,            0.032838,            0.039931,             0.00198,              0.8053,             0.60417,              0.6792,             0.41372,            0.054712,            0.066694,           0.0023712,           0.0092872,           0.0092872,           0.0092872
                  38,            0.031869,            0.041214,            0.001841,             0.84194,             0.64167,             0.69756,             0.42111,            0.053373,            0.066467,           0.0022881,           0.0092674,           0.0092674,           0.0092674
                  39,            0.032445,            0.043119,           0.0019689,             0.76711,              0.6625,             0.69025,             0.39166,            0.053834,             0.06612,           0.0024099,           0.0092476,           0.0092476,           0.0092476
                  40,            0.033024,            0.044307,           0.0020029,              0.7636,             0.68125,             0.70231,             0.41684,            0.050575,            0.065405,           0.0023387,           0.0092278,           0.0092278,           0.0092278
                  41,            0.034018,             0.04268,           0.0020987,             0.74946,             0.67292,             0.69809,             0.40762,            0.052717,            0.065831,           0.0023347,            0.009208,            0.009208,            0.009208
                  42,             0.03114,            0.040945,           0.0018768,             0.75931,             0.64172,             0.68657,             0.36563,            0.051712,            0.063861,           0.0023648,           0.0091882,           0.0091882,           0.0091882
                  43,            0.032124,            0.038512,           0.0018519,             0.71992,             0.63333,              0.6675,             0.37466,            0.049734,             0.06608,           0.0023156,           0.0091684,           0.0091684,           0.0091684
                  44,            0.031774,            0.039936,           0.0018662,              0.7876,             0.63958,             0.70392,             0.38727,             0.05017,            0.064378,           0.0024302,           0.0091486,           0.0091486,           0.0091486
                  45,            0.030529,            0.040929,           0.0017111,             0.70889,             0.73079,             0.73879,             0.44032,            0.049029,            0.060349,           0.0025057,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031466,            0.042555,           0.0017385,             0.85033,             0.63333,             0.73885,             0.42302,            0.049018,            0.062738,           0.0024976,            0.009109,            0.009109,            0.009109
                  47,            0.031836,            0.039465,           0.0019097,             0.71569,             0.69792,             0.70768,             0.45112,            0.048978,            0.060906,           0.0024048,           0.0090892,           0.0090892,           0.0090892
                  48,            0.032225,            0.040047,           0.0016785,             0.74397,             0.69167,             0.72966,             0.46012,            0.048328,            0.061375,           0.0020359,           0.0090694,           0.0090694,           0.0090694
                  49,            0.030016,             0.03671,           0.0016982,             0.73552,             0.69961,             0.73655,             0.45106,            0.045524,            0.061897,           0.0019504,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03115,            0.044471,           0.0016195,              0.7137,              0.7375,             0.72316,             0.45344,            0.044987,            0.061408,           0.0018807,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031688,            0.045554,           0.0017266,             0.82522,                 0.7,             0.75774,             0.47954,            0.045086,            0.058112,           0.0019572,             0.00901,             0.00901,             0.00901
                  52,            0.030986,            0.039139,            0.001768,             0.78027,             0.73125,             0.75997,             0.49115,            0.044893,            0.058966,           0.0019806,           0.0089902,           0.0089902,           0.0089902
                  53,            0.030843,            0.042695,           0.0017023,             0.71377,                0.75,              0.7677,             0.44616,            0.043855,            0.058622,           0.0019867,           0.0089704,           0.0089704,           0.0089704
                  54,            0.030375,             0.03907,           0.0017719,             0.78448,              0.6625,             0.73533,             0.42921,            0.045113,             0.06353,           0.0021069,           0.0089506,           0.0089506,           0.0089506
                  55,            0.029784,            0.038509,           0.0017667,              0.7742,             0.67468,             0.73417,             0.43069,            0.045915,            0.063412,           0.0019559,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030119,            0.042043,           0.0016819,             0.76682,              0.7589,              0.7338,             0.43404,            0.046335,            0.057845,           0.0018864,            0.008911,            0.008911,            0.008911
                  57,            0.029902,            0.036168,           0.0017635,             0.76476,              0.7028,             0.73914,             0.45608,            0.047605,            0.060811,           0.0020062,           0.0088912,           0.0088912,           0.0088912
                  58,            0.028668,            0.043344,           0.0020161,             0.74363,              0.7228,             0.71785,             0.44392,            0.048301,            0.061061,           0.0019469,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031193,            0.043169,           0.0017361,             0.78403,             0.60833,             0.65177,             0.42958,            0.051335,            0.062707,           0.0021794,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031454,            0.038344,           0.0018773,             0.76533,             0.62708,             0.68054,             0.43189,            0.050313,            0.063382,           0.0021874,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030199,            0.037963,           0.0016383,             0.71976,              0.6875,             0.70903,             0.47127,            0.047409,            0.067349,           0.0021283,            0.008812,            0.008812,            0.008812
                  62,            0.031647,            0.046442,           0.0015761,             0.81933,             0.67993,              0.7408,             0.48387,            0.045356,            0.062169,           0.0021288,           0.0087922,           0.0087922,           0.0087922
                  63,            0.029398,            0.038318,           0.0017643,             0.76393,              0.7375,             0.76992,             0.48347,            0.045386,            0.058642,           0.0018604,           0.0087724,           0.0087724,           0.0087724
                  64,            0.028958,            0.041267,           0.0016709,             0.68984,             0.73218,             0.71425,             0.44485,            0.047805,            0.061967,           0.0021109,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028612,            0.041084,           0.0016825,             0.77295,             0.76875,             0.74611,             0.45861,             0.04727,            0.059296,            0.002167,           0.0087328,           0.0087328,           0.0087328
                  66,            0.029047,            0.043159,           0.0014835,             0.77634,              0.7029,             0.74491,             0.46005,            0.049439,            0.060213,           0.0019748,            0.008713,            0.008713,            0.008713
                  67,            0.029403,            0.045414,           0.0015003,             0.86751,             0.65417,             0.73694,             0.46558,            0.048931,            0.062377,           0.0020202,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028938,              0.0379,           0.0016592,             0.72735,              0.6432,             0.69256,             0.42856,            0.049936,             0.06873,           0.0023676,           0.0086734,           0.0086734,           0.0086734
                  69,            0.030729,            0.046462,           0.0015651,             0.76377,             0.61042,             0.69661,             0.42236,            0.050743,            0.069697,           0.0026793,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02848,            0.038038,           0.0015194,             0.80501,             0.63542,             0.70414,             0.40014,            0.052686,            0.068238,           0.0029556,           0.0086338,           0.0086338,           0.0086338
                  71,             0.02807,            0.036436,           0.0016148,             0.72753,             0.66536,             0.68773,             0.41556,            0.052114,            0.066619,           0.0023649,            0.008614,            0.008614,            0.008614
                  72,            0.029639,            0.039058,           0.0016384,             0.68011,             0.67292,             0.69839,             0.42418,            0.048627,             0.06333,           0.0024071,           0.0085942,           0.0085942,           0.0085942
                  73,              0.0288,            0.043852,           0.0016522,             0.71353,             0.67917,             0.71172,              0.4539,            0.047487,            0.061369,           0.0022661,           0.0085744,           0.0085744,           0.0085744
                  74,            0.027316,            0.035075,           0.0018712,             0.77294,             0.61231,              0.7276,             0.41778,             0.05012,            0.062262,           0.0021579,           0.0085546,           0.0085546,           0.0085546
                  75,            0.026748,            0.042228,           0.0017393,             0.83048,             0.66042,             0.74856,             0.44751,            0.048718,            0.061986,           0.0022289,           0.0085348,           0.0085348,           0.0085348
                  76,            0.025917,            0.039471,           0.0015806,             0.73292,             0.69167,             0.73896,             0.46662,            0.046443,            0.061127,            0.002456,            0.008515,            0.008515,            0.008515
                  77,             0.02906,            0.041613,           0.0014853,             0.90192,             0.64352,             0.76496,             0.48977,            0.048799,            0.062608,           0.0025774,           0.0084952,           0.0084952,           0.0084952
                  78,            0.027773,            0.039046,           0.0014507,             0.83191,             0.65792,             0.75907,             0.47576,            0.047343,            0.061287,           0.0027871,           0.0084754,           0.0084754,           0.0084754
                  79,            0.028554,            0.036041,           0.0015199,             0.84774,             0.63542,             0.74705,             0.45394,            0.049383,            0.064437,           0.0031349,           0.0084556,           0.0084556,           0.0084556
                  80,            0.028621,            0.039403,           0.0013001,             0.76149,             0.70403,              0.7441,             0.44816,            0.049015,            0.063351,            0.003489,           0.0084358,           0.0084358,           0.0084358
                  81,             0.03002,            0.044093,           0.0013324,             0.72376,             0.70098,             0.72325,             0.44609,             0.04945,             0.06559,           0.0043145,            0.008416,            0.008416,            0.008416
                  82,            0.027456,            0.038542,           0.0015861,             0.76401,              0.7182,             0.74907,             0.48138,            0.050985,            0.063381,           0.0041733,           0.0083962,           0.0083962,           0.0083962
                  83,            0.028523,            0.038627,           0.0016711,             0.87512,              0.6875,             0.75053,             0.46713,            0.051599,            0.064077,           0.0036692,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028785,            0.044925,           0.0015288,             0.81907,                 0.7,             0.74162,             0.47264,            0.050655,            0.064565,           0.0032281,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027368,            0.037568,           0.0013998,             0.81342,             0.71875,             0.76817,              0.4679,            0.049132,            0.060152,           0.0027846,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029254,            0.038491,           0.0015196,             0.80773,             0.67727,             0.75384,             0.48152,            0.049363,            0.062785,           0.0027062,            0.008317,            0.008317,            0.008317
                  87,            0.028194,            0.040932,           0.0015348,              0.7068,             0.68218,             0.70859,             0.49023,            0.048341,            0.067754,           0.0026904,           0.0082972,           0.0082972,           0.0082972
                  88,            0.027409,            0.035799,           0.0017476,             0.76017,             0.73428,             0.72426,             0.46487,            0.048511,            0.063498,           0.0026639,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028887,            0.038522,           0.0016218,             0.75931,             0.64534,             0.67911,             0.41171,            0.050352,            0.069201,            0.002946,           0.0082576,           0.0082576,           0.0082576
                  90,            0.027422,            0.038213,           0.0013818,             0.84579,             0.65417,             0.74056,              0.4356,            0.048654,            0.067283,           0.0026201,           0.0082378,           0.0082378,           0.0082378
                  91,             0.02818,             0.03853,           0.0017545,             0.78931,             0.70417,             0.76085,             0.41851,            0.049719,            0.065979,           0.0025683,            0.008218,            0.008218,            0.008218
                  92,            0.026318,             0.04308,           0.0014985,             0.85658,             0.63542,              0.7246,             0.41355,            0.049379,             0.07181,           0.0024819,           0.0081982,           0.0081982,           0.0081982
                  93,            0.027195,            0.040288,            0.001374,             0.83175,             0.61321,             0.72019,             0.41136,            0.050047,            0.074715,           0.0026581,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028524,            0.034282,           0.0014173,             0.82779,             0.64375,             0.71357,             0.42924,            0.051441,            0.074014,           0.0027442,           0.0081586,           0.0081586,           0.0081586
                  95,            0.026935,            0.039673,           0.0014483,             0.86835,             0.64375,             0.73288,             0.46376,            0.050094,            0.073618,           0.0026451,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027181,            0.038207,           0.0014543,             0.77964,             0.68813,             0.74899,             0.46287,            0.049704,            0.068245,           0.0026444,            0.008119,            0.008119,            0.008119
                  97,            0.025869,             0.03973,           0.0014184,             0.87671,             0.64909,             0.73018,             0.44992,             0.04934,            0.068346,           0.0027593,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025994,            0.038335,           0.0015959,              0.7539,             0.67805,             0.72724,             0.45574,             0.04847,            0.071478,           0.0024421,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027875,            0.036773,           0.0013512,             0.72546,              0.7375,             0.75563,             0.46326,            0.046645,            0.064064,           0.0021635,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026432,            0.035319,           0.0016116,              0.8371,             0.66875,             0.73652,             0.48164,             0.04768,            0.072607,            0.003039,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026459,            0.032472,           0.0014669,             0.83026,              0.6625,             0.74548,             0.48311,            0.045801,            0.069204,           0.0030253,             0.00802,             0.00802,             0.00802
